iter	Passed	Remaining
656	22366	86574
657	22403	86548
658	22438	86518
659	22474	86493
660	22507	86453
661	22542	86422
662	22572	86376
663	22608	86347
664	22643	86317
665	22678	86287
666	22715	86263
667	22748	86227
668	22785	86202
669	22823	86184
670	22858	86154
671	22893	86125
672	22925	86080
673	22961	86053
674	22997	86026
675	23033	85999
676	23071	85982
677	23103	85939
678	23137	85904
679	23171	85870
680	23206	85840
681	23243	85818
682	23277	85783
683	23314	85757
684	23350	85732
685	23383	85694
686	23421	85675
687	23453	85631
688	23490	85610
689	23522	85568
690	23559	85545
691	23595	85515
692	23639	85517
693	23674	85488
694	23707	85450
695	23736	85396
696	23771	85364
697	23807	85338
698	23843	85310
699	23878	85278
700	23907	85228
701	23941	85194
702	23977	85164
703	24013	85140
704	24038	85073
705	24075	85048
706	24107	85007
707	24143	84980
708	24176	84940
709	24213	84918
710	24247	84881
711	24280	84845
712	24310	84796
713	24344	84761
714	24387	84760
715	24429	84753
716	24467	84732
717	24516	84750
718	24551	84718
719	24592	84706
720	24635	84704
721	24676	84693
722	24716	84677
723	24753	84653
724	24787	84617
725	24817	84570
726	24855	84548
727	24888	84513
728	24922	84477
729	24959	84450
730	24992	84412
731	25019	84356
732	25055	84328
733	25091	84300
734	25131	84283
735	25168	84258
736	25200	84217
737	25239	84199
738	25275	84170
739	25311	84144
740	25342	84099
741	25374	84056
742	25407	84018
743	25441	83985
744	25475	83949
745	25507	83908
746	25541	83874
747	25574	83836
748	25608	83800
749	25638	83751
750	25671	83715
751	25701	83667
752	25736	83635
753	25772	83605
754	25802	83560
755	25838	83529
756	25873	83499
757	25908	83467
758	25944	83440
759	25977	83402
760	26011	83365
761	26049	83346
762	26086	83320
763	26122	83290
764	26153	83246
765	26182	83195
766	26218	83166
767	26246	83114
768	26282	83086
769	26312	83037
770	26348	83010
771	26379	82965
772	26412	82927
773	26449	82900
774	26484	82872
775	26515	82825
776	26549	82793
777	26581	82749
778	26614	82713
779	26645	82670
780	26683	82647
781	26722	82627
782	26757	82596
783	26792	82565
784	26830	82541
785	26864	82507
786	26898	82471
787	26931	82436
788	26972	82420
789	27009	82396
790	27043	82360
791	27078	82328
792	27113	82298
793	27149	82268
794	27186	82242
795	27222	82215
796	27263	82201
797	27306	82192
798	27348	82181
799	27391	82173
800	27429	82151
801	27461	82110
802	27501	82093
803	27536	82060
804	27580	82055
805	27618	82033
806	27659	82017
807	27699	82001
808	27741	81991
809	27779	81966
810	27817	81941
811	27857	81926
812	27897	81909
813	27930	81868
814	27962	81828
815	28005	81819
816	28048	81811
817	28087	81788
818	28125	81766
819	28160	81735
820	28196	81703
821	28233	81678
822	28273	81661
823	28318	81655
824	28357	81634
825	28394	81608
826	28436	81596
827	28472	81565
828	28513	81551
829	28552	81529
830	28596	81521
831	28631	81490
832	28675	81481
833	28712	81454
834	28754	81441
835	28793	81422
836	28837	81414
837	28878	81398
838	28919	81380
839	28956	81353
840	28995	81332
841	29035	81313
842	29072	81284
843	29117	81280
844	29159	81266
845	29201	81254
846	29247	81250
847	29286	81229
848	29327	81213
849	29363	81181
850	29400	81154
851	29439	81132
852	29475	81101
853	29515	81080
854	29554	81058
855	29595	81042
856	29635	81022
857	29679	81013
858	29719	80993
859	29759	80974
860	29795	80941
861	29830	80908
862	29866	80878
863	29907	80860
864	29947	80841
865	29985	80816
866	30021	80783
867	30056	80749
868	30082	80693
869	30116	80657
870	30152	80625
871	30183	80582
872	30214	80537
873	30251	80508
874	30289	80483
875	30325	80452
876	30359	80416
877	30392	80377
878	30425	80338
879	30460	80305
880	30493	80265
881	30528	80233
882	30563	80199
883	30591	80148
884	30621	80101
885	30652	80056
886	30687	80023
887	30723	79990
888	30752	79943
889	30787	79909
890	30817	79862
891	30847	79816
892	30885	79790
893	30918	79752
894	30954	79721
895	30989	79687
896	31026	79658
897	31059	79619
898	31092	79581
899	31126	79545
900	31163	79517
901	31200	79489
902	31234	79453
903	31270	79420
904	31296	79366
905	31329	79327
906	31365	79296
907	31399	79260
908	31434	79225
909	31469	79191
910	31505	79160
911	31539	79124
912	31575	79095
913	31610	79061
914	31645	79026
915	31680	78992
916	31716	78962
917	31747	78919
918	31778	78876
919	31810	78834
920	31838	78784
921	31870	78743
922	31903	78703
923	31938	78670
924	31969	78627
925	31997	78577
926	32033	78546
927	32070	78517
928	32102	78476
929	32136	78441
930	32173	78411
931	32203	78365
932	32238	78334
933	32272	78297
934	32301	78250
935	32336	78214
936	32365	78168
937	32400	78134
938	32432	78093
939	32465	78054
940	32499	78019
941	32528	77972
942	32559	77927
943	32593	77892
944	32626	77855
945	32662	77823
946	32691	77775
947	32725	77740
948	32761	77709
949	32793	77667
950	32823	77624
951	32857	77587
952	32887	77543
953	32924	77514
954	32952	77464
955	32986	77428
956	33015	77382
957	33052	77351
958	33087	77318
959	33114	77266
960	33147	77228
961	33179	77189
962	33212	77151
963	33246	77114
964	33275	77067
965	33304	77021
966	33342	76993
967	33374	76953
968	33409	76921
969	33444	76888
970	33479	76854
971	33516	76825
972	33553	76797
973	33587	76762
974	33617	76717
975	33653	76685
976	33689	76654
977	33721	76615
978	33756	76581
979	33785	76535
980	33815	76490
981	33852	76460
982	33884	76421
983	33915	76379
984	33946	76336
985	33981	76302
986	34018	76275
987	34054	76242
988	34086	76203
989	34119	76166
990	34153	76129
991	34185	76090
992	34217	76049
993	34251	76014
994	34285	75979
995	34326	75959
996	34361	75925
997	34390	75879
998	34426	75849
999	34453	75798
1000	34487	75762
1001	34523	75730
1002	34558	75696
1003	34585	75648
1004	34621	75616
1005	34656	75582
1006	34694	75557
1007	34730	75525
1008	34761	75483
1009	34799	75455
1010	34831	75416
1011	34870	75391
1012	34905	75358
1013	34938	75321
1014	34973	75286
1015	35006	75251
1016	35042	75218
1017	35068	75167
1018	35100	75126
1019	35131	75085
1020	35158	75034
1021	35189	74992
1022	35219	74948
1023	35246	74898
1024	35280	74864
1025	35306	74812
1026	35341	74778
1027	35369	74730
1028	35405	74698
1029	35442	74669
1030	35476	74635
1031	35511	74602
1032	35538	74552
1033	35577	74526
1034	35607	74482
1035	35642	74450
1036	35675	74412
1037	35707	74373
1038	35740	74335
1039	35777	74307
1040	35812	74274
1041	35842	74229
1042	35875	74193
1043	35908	74156
1044	35938	74112
1045	35973	74080
1046	36008	74045
